PAN Card Number,Age,Occupation,Annual Income,Property Tax Paid,School Fees,Grocery Expenses,Healthcare Costs,Lifestyle Expenditure,Bank Balance,Loan Amount,Income Declared,Estimated Actual Income,Fraud Flag,Total Expenses
ABC628,59,Self-Employed,645476,32681,29559,19326,6057,59378,90184,23647,85104,600897.9563516158,1,260832
ABC825,23,Self-Employed,154580,35162,18774,11870,5145,24986,73780,4959,52415,167030.18143468205,1,174676
ABC202,43,Entrepreneur,204256,10806,28752,17447,6844,38609,48466,12484,354988,164724.92761247876,0,163408
ABC236,54,Employee,624981,16464,25346,12476,2687,33904,69094,5499,38298,605424.0054652172,1,165470
ABC422,48,Self-Employed,268731,23046,7385,16817,5106,57905,29116,33708,81084,233307.00638342393,1,173083
ABC637,52,Retired,162124,22726,7511,14448,7953,17994,148966,44351,152799,172184.18634709023,1,263949
ABC900,52,Self-Employed,467830,11276,20650,13324,3314,26812,66998,18956,341715,529835.1166866525,1,161330
ABC246,32,Employee,540580,48338,29615,10444,7565,25287,69260,8211,167499,433424.11221588595,1,198720
ABC838,48,Retired,432951,24148,5286,11965,2385,70568,31189,56126,396105,461316.0550899118,1,201667
ABC675,57,Employee,100289,43916,6428,17166,3743,31378,48381,29116,330458,83508.99939234342,0,180128
ABC544,23,Employee,797609,14027,5987,14252,9795,78488,81081,55058,393232,687360.3491691678,1,258688
ABC851,30,Employee,686195,25500,29602,6194,5997,48851,26682,23585,30458,569336.1856822986,1,166411
ABC126,49,Self-Employed,736314,47418,12788,9914,9797,51098,26416,23351,331966,800197.9818032418,1,180782
ABC338,43,Employee,378583,39976,8524,6852,9733,62623,131822,27837,326295,343059.1176610878,1,287367
ABC150,47,Self-Employed,357539,47685,28095,10011,8370,54534,121526,39257,20184,393073.75135379273,1,309478
ABC601,37,Retired,113904,39247,8902,14935,5983,69700,17272,21425,297041,102132.18340855726,0,177464
ABC503,23,Employee,465455,28415,11380,6051,3414,36401,33317,33423,70857,540030.3299536366,1,152401
ABC422,35,Entrepreneur,657931,48329,11471,16381,2279,13064,77111,15246,116810,759459.1008321097,1,183881
ABC482,51,Student,694539,19099,18880,9202,5938,14380,148309,44028,106250,737285.5615307252,1,259836
ABC160,20,Entrepreneur,379036,30642,13811,11459,9600,11539,85217,40357,343724,368800.66666599904,1,202625
ABC249,59,Retired,735965,30704,17124,7909,8561,35325,65438,11848,211751,718758.284360273,1,176909
ABC331,33,Retired,203931,15543,10346,10379,8738,11116,36137,14574,145750,236394.80668367379,1,106833
ABC107,43,Employee,371564,44275,13255,10668,2424,76410,17275,40349,44401,391934.52243358316,1,204656
ABC244,52,Entrepreneur,634554,21052,20794,6193,9500,35441,55530,29128,255833,611235.4733538495,1,177638
ABC214,20,Entrepreneur,240635,17629,7219,16315,5732,66864,36837,51295,247697,223422.3451112851,0,201891
ABC749,54,Self-Employed,218828,31830,23963,6704,9474,20513,134028,28142,377511,194511.35260745775,0,254654
ABC894,41,Employee,728057,47165,17623,9276,9241,47855,49428,16996,334354,855517.2180603674,1,197584
ABC960,33,Entrepreneur,365130,11446,19315,15678,8173,14257,45910,18283,220382,372482.6412119786,1,133062
ABC382,57,Self-Employed,446273,11718,18656,5071,7715,31324,45886,36374,101251,404861.41897803085,1,156744
ABC211,35,Self-Employed,352541,43214,7239,17408,6528,49372,104059,11452,392115,342092.115351344,0,239272
ABC381,27,Retired,617686,26461,12516,8786,3844,65202,123185,56613,125563,568483.8164397349,1,296607
ABC642,47,Self-Employed,687342,26710,21937,17361,4956,12630,130903,16027,199043,721249.307736611,1,230524
ABC743,24,Student,484591,24487,22626,5868,8575,46943,143775,3602,245080,441338.57693487324,1,255876
ABC998,37,Student,503552,10065,26033,14179,5813,60894,148544,11766,290370,532690.427721755,1,277294
ABC836,54,Entrepreneur,143320,30649,17673,12510,8171,36806,70709,58747,59551,132367.30980628773,1,235265
ABC795,24,Employee,662667,26802,19521,9074,5357,23281,83555,43750,310183,562218.2713520065,1,211340
ABC368,25,Employee,162703,13593,29339,7327,8180,49576,11081,7130,84829,176787.47931639795,1,126226
ABC721,27,Retired,125101,20179,13674,15720,7349,57228,112043,27544,346986,129365.52629479601,0,253737
ABC890,43,Retired,717387,14051,20576,16530,2255,60567,27349,55908,384620,712848.1515302694,1,197236
ABC675,32,Entrepreneur,713308,22654,24458,13249,7392,38704,69286,24040,94329,750570.8023976228,1,199783
ABC420,54,Employee,405102,13394,14343,14084,9374,16503,16631,9627,164729,479667.62582918536,1,93956
ABC520,36,Entrepreneur,582576,35710,20064,12093,5160,26272,61264,27318,21936,562623.5026583186,1,187881
ABC893,37,Retired,275017,29648,23412,17455,3983,58671,110979,21985,270064,326793.5493819083,1,266133
ABC540,34,Student,755117,39639,13728,17641,2159,77632,61189,27723,378630,660523.217831588,1,239711
ABC118,48,Employee,397090,25956,17632,18224,7464,11860,18897,46146,126999,346023.3680376889,1,146179
ABC948,46,Student,382239,10177,10922,15062,7573,64809,116526,49398,258811,355558.6533037775,1,274467
ABC455,47,Retired,775680,46645,11533,7878,4680,43424,147068,3561,203320,880420.1443450042,1,264789
ABC636,42,Student,676274,27572,28404,5296,9473,40651,45753,20284,325039,605705.7895306845,1,177433
ABC511,29,Self-Employed,197508,33367,27193,6931,5954,72504,73249,13503,110483,220188.55675629174,1,232701
ABC770,57,Self-Employed,395459,36124,18919,16072,7086,13442,87832,13349,191916,445411.8370205826,1,192824
ABC950,25,Employee,342337,19467,10260,14714,4962,51263,120056,36181,376296,376210.31151118857,0,256903
ABC659,55,Self-Employed,142762,13809,25859,8195,7030,68741,104645,17717,194005,155468.73495685004,0,245996
ABC652,49,Entrepreneur,682555,48230,11936,13334,3828,24945,49770,11201,273609,680157.6983877597,1,163244
ABC712,31,Self-Employed,651845,34285,10851,15404,7339,73019,134803,56808,166988,662198.5141955857,1,332509
ABC379,37,Student,750985,32137,5162,15860,3697,32570,119019,47048,219251,848671.0389019073,1,255493
ABC696,51,Entrepreneur,368951,26250,28400,18007,5105,19384,100044,3353,171628,350025.8352278434,1,200543
ABC573,20,Retired,352321,43111,17724,14398,8041,42917,75804,27832,87825,411982.34228379076,1,229827
ABC877,21,Student,638857,22468,7712,9071,6033,41642,56475,30212,174423,539824.1067527721,1,173613
ABC276,55,Entrepreneur,597390,30806,13784,10153,2112,52119,86690,52191,374481,530532.4465791507,1,247855
ABC106,52,Self-Employed,254202,13670,15722,16120,5940,34272,130989,42222,309314,289601.3863476206,0,258935
ABC443,35,Entrepreneur,600396,11470,24408,14024,4707,16603,38995,37010,271530,495691.03657373297,1,147217
ABC142,37,Entrepreneur,190540,17269,18389,19932,5816,71514,28568,40328,174184,174637.09640683432,1,201816
ABC711,45,Self-Employed,604544,43896,28214,16195,7738,67049,51717,35165,40009,669195.9102184032,1,249974
ABC412,43,Student,160868,21907,24176,19383,9294,60933,26986,1854,167472,133851.42292690158,0,164533
ABC501,21,Employee,196102,23885,26283,17407,7766,18284,52332,37818,44963,203447.39694547906,1,183775
ABC858,25,Entrepreneur,686787,44564,5213,16647,2580,72490,106525,28434,92813,709412.063246376,1,276453
ABC367,53,Entrepreneur,383853,45124,25269,17159,4282,60527,134950,44160,41591,378127.6864357431,1,331471
ABC198,54,Employee,723421,20893,24342,13823,2878,77250,122246,39099,366699,854888.6368077314,1,300531
ABC356,49,Entrepreneur,307905,49161,29064,17907,5716,53339,54705,42506,245142,368243.330430855,1,252398
ABC644,43,Retired,177152,40475,18897,19105,4698,62035,66707,38913,294592,173374.28440622488,0,250830
ABC293,48,Employee,701426,47265,14154,17167,5550,48081,68202,30076,165443,790846.394639037,1,230495
ABC543,55,Entrepreneur,120405,47991,14575,6678,3404,70724,17354,25826,96751,98835.05463605709,1,186552
ABC526,53,Employee,392758,20685,22519,7145,4692,36538,105458,36505,154429,441935.4615329685,1,233542
ABC115,23,Student,657390,14431,26062,13993,6153,38959,84660,52326,117240,674418.9966923416,1,236584
ABC390,60,Retired,782271,27760,14193,18740,6443,26649,36867,50993,152689,913569.6002007012,1,181645
ABC759,29,Entrepreneur,598221,44805,28781,9846,6119,62268,103531,21342,309435,684785.2301200934,1,276692
ABC270,48,Employee,706921,34505,11405,5784,3158,45747,59373,52464,353632,682014.0468186197,1,212436
ABC396,51,Student,702228,27399,15813,8379,5736,40162,47318,1668,199567,799146.9548308564,1,146475
ABC428,36,Employee,279562,41719,16992,10510,2940,52425,68993,45434,165031,315495.729095786,1,239013
ABC629,29,Self-Employed,635221,11284,15100,18558,6308,75974,58900,10375,350586,758418.0236475153,1,196499
ABC780,24,Employee,166062,31566,26983,14804,8331,31020,35098,23408,159403,187088.11568626112,1,171210
ABC649,41,Retired,158187,32604,13649,13284,6435,67228,25337,52284,107199,131915.85019045553,1,210821
ABC768,20,Employee,278102,38973,5942,12691,3593,48787,82562,131,338425,238611.9861970534,0,192679
ABC857,28,Employee,465780,19524,15402,10032,5229,52366,127147,40863,56824,489608.17784871766,1,270563
ABC354,27,Entrepreneur,396612,12381,15938,19778,2771,24365,128386,52956,235960,443711.6503063813,1,256575
ABC787,21,Retired,455998,34909,5416,7316,4968,22128,119790,2409,57925,377988.03931206715,1,196936
ABC881,44,Entrepreneur,247717,43590,29022,17288,9433,18603,131830,40219,67755,211536.09835407557,1,289985
ABC173,37,Retired,696533,30052,29463,12998,2173,74148,55496,12298,190483,744879.5726226977,1,216628
ABC591,40,Student,59489,15931,7183,12266,2271,73184,79345,53854,310457,59354.8385760994,0,244034
ABC999,29,Retired,666374,38727,17737,7680,2890,24569,23727,8488,80240,604472.7238865808,1,123818
ABC464,41,Employee,655021,26748,22016,14854,9979,75829,80202,37847,309417,743591.6035709784,1,267475
ABC383,47,Employee,307378,22582,25600,15686,7508,51543,11234,24846,151680,298518.4594388217,1,158999
ABC494,52,Employee,310101,39568,6209,13988,5097,21555,36296,20126,343296,341792.17283182417,0,142839
ABC203,58,Student,616983,36458,12013,6667,3709,55794,11458,26711,100802,639448.7647377233,1,152810
ABC551,25,Employee,218785,47528,8405,10742,5814,79147,52762,30496,369186,204925.9393026771,0,234894
ABC560,40,Retired,181599,17283,25082,5249,2795,75090,105999,20601,325683,182833.1556625989,0,252099
ABC111,40,Student,63304,25251,7259,6746,6608,54654,55631,24485,249668,54002.36412196374,0,180634
ABC749,40,Student,286452,42484,28278,16671,3002,70372,132330,47208,375904,269286.0656785029,0,340345
ABC650,40,Self-Employed,97210,42572,19910,6946,7189,71477,95667,11549,31029,87125.53522542404,1,255310
ABC813,29,Self-Employed,789674,19477,23464,12129,2500,28065,24000,19513,87232,730898.1236235325,1,129148
ABC800,41,Self-Employed,355846,37235,20991,15959,8874,63806,92229,10116,162052,309024.3705737003,1,249210
ABC626,50,Employee,161350,17084,29775,10619,8516,70138,65939,23995,399149,153780.26423843263,0,226066
ABC789,47,Employee,303236,18289,24798,10788,9676,51196,112081,31192,104684,337279.20935898117,1,258020
ABC591,42,Self-Employed,603017,46117,29660,13196,8449,11060,44416,24068,84485,508718.9302319055,1,176966
ABC400,45,Retired,444014,31961,11368,16916,7261,76646,73953,39694,259938,520591.9218604816,1,257799
ABC936,59,Self-Employed,359520,10329,22137,10648,7332,40537,102244,51203,276062,365703.3074891363,1,244430
ABC424,55,Retired,152667,35737,17569,16495,8780,53553,110735,36235,185514,148141.57362830173,0,279104
ABC965,34,Retired,601720,38909,16839,19704,3879,56351,87540,48005,118877,513778.1265902787,1,271227
ABC124,41,Employee,177864,40650,18384,19839,8182,13592,114347,56786,168874,203958.92085755547,1,271780
ABC941,51,Retired,673706,41264,29306,7182,4064,46434,90193,16988,66328,634019.6626561235,1,235431
ABC772,58,Self-Employed,635877,36523,12191,16861,8061,18187,70459,35632,283200,753008.7315829616,1,197914
ABC429,45,Student,182754,16529,29412,14302,4999,77194,123708,31977,158355,210885.01767896296,1,298121
ABC922,59,Student,109868,34067,19437,11660,5139,47347,10145,43357,112224,128770.39638085174,1,171152
ABC509,56,Self-Employed,315823,14866,27645,15250,8995,54331,72818,53940,275834,342186.00461352064,1,247845
ABC461,35,Self-Employed,281664,19023,22043,7838,8315,12214,123489,29528,27065,303975.2089927005,1,222450
ABC127,47,Student,652932,34369,10245,19045,8134,23738,22731,45180,295026,662954.806461794,1,163442
ABC184,29,Retired,522353,44805,23685,13522,9710,54271,139791,51821,206993,549930.4325109756,1,337605
ABC543,40,Retired,529414,18272,14798,19068,7456,40423,104309,4735,172678,488617.5091359484,1,209061
ABC266,50,Employee,798071,20864,5127,10675,5759,26987,64669,14518,304529,893686.9605837405,1,148599
ABC940,37,Entrepreneur,403232,34278,19559,8548,8130,40424,134797,2730,109358,355512.4649743132,1,248466
ABC183,51,Retired,93801,21937,6464,7236,8992,29185,107288,58070,233949,77792.7080041639,0,239172
ABC343,24,Entrepreneur,427150,16284,27463,13641,7590,19579,134938,55907,34963,417887.56307702704,1,275402
ABC906,59,Employee,293832,32208,20662,9455,7358,13191,13095,13655,341433,292988.4751289147,0,109624
ABC221,26,Entrepreneur,134034,23544,19755,10967,3803,78453,113613,21706,61285,140564.12273043705,1,271841
ABC476,22,Entrepreneur,635289,28826,5771,13063,3369,16423,112485,56534,83144,552384.7338044861,1,236471
ABC934,52,Self-Employed,274331,21196,28411,5903,5294,71333,96333,22745,379093,260240.15020802867,0,251215
ABC515,43,Self-Employed,358605,25115,22824,19105,6937,71977,90830,22455,224637,404490.0999358097,1,259243
ABC137,43,Retired,310764,34367,15179,10420,2450,44798,92437,14087,189316,278791.3925427132,1,213738
ABC513,27,Self-Employed,798824,13715,29027,7230,3128,53744,145779,52508,20006,884784.7557700262,1,305131
ABC260,38,Retired,263854,40901,12636,5804,7187,49239,124349,45625,342733,226598.2204272485,0,285741
ABC480,23,Self-Employed,193722,24832,11312,6540,3574,44832,10119,27563,394515,222577.67796583555,0,128772
ABC436,23,Self-Employed,87521,49114,15847,10463,7116,56573,119174,52083,243760,78996.7792332874,0,310370
ABC879,41,Employee,106436,36069,9813,10749,9724,51802,46044,16786,56968,93726.9697444228,1,180987
ABC340,43,Retired,633208,17482,26262,18604,9026,68065,45462,6781,232862,743001.9832692007,1,191682
ABC190,33,Student,71813,36529,17429,14916,7189,38126,71018,18128,147288,80208.59923111874,0,203335
ABC263,58,Employee,760934,26638,18326,18923,3820,54295,69931,20773,309146,874150.7692660001,1,212706
ABC168,56,Retired,403839,48257,6099,14281,4445,12875,51457,37785,203005,353284.1308948156,1,175199
ABC118,29,Student,671022,32013,19660,6987,2343,59026,104538,41778,284990,616921.5848087786,1,266345
ABC636,30,Entrepreneur,268158,13460,26964,10011,3088,19591,119553,53555,301770,236510.40113437356,0,246222
ABC631,54,Student,671615,33088,17004,7418,2708,14409,120649,22974,164649,583815.1436054537,1,218250
ABC326,52,Retired,392464,16241,23956,8980,7925,49441,108371,1096,342333,429093.8003608179,1,216010
ABC584,38,Employee,506994,27294,13462,12283,6307,19677,45133,35049,333795,453507.8172562087,1,159205
ABC768,56,Self-Employed,737425,47932,28421,12819,2156,28016,15957,30960,361605,849922.055565546,1,166261
ABC256,22,Student,503792,43311,25152,13046,8827,33208,114049,51239,309962,555487.7636310951,1,288832
ABC884,27,Employee,309796,46632,12816,14020,8353,52507,21174,4646,22070,274633.85612799233,1,160148
ABC669,33,Student,451997,45893,22607,16344,9885,13466,31962,23870,150618,477834.9624864585,1,164027
ABC980,55,Entrepreneur,467218,27486,28561,5443,9268,68837,41712,25818,345658,482740.30486185924,1,207125
ABC856,37,Student,431209,15345,6647,19501,5620,65589,104528,58943,160005,346818.1836309627,1,276173
ABC293,38,Student,405132,20218,17788,13785,3995,37592,124907,51951,232994,326584.08874792955,1,270236
ABC331,43,Entrepreneur,230071,36984,20313,14744,9254,19901,134195,28915,358689,189256.79788366062,0,264306
ABC923,46,Retired,406195,26221,23037,17367,5722,50779,123546,8324,238909,385893.7963020884,1,254996
ABC317,44,Student,507621,13204,26123,16008,3179,34803,14651,7206,303354,455460.71508268465,1,115174
ABC463,25,Student,358524,13521,19349,18873,6515,58827,134830,59217,254964,419152.52476111864,1,311132
ABC946,60,Retired,722990,23768,18053,9151,4545,13110,106327,21488,71903,623844.4881324362,1,196442
ABC497,46,Retired,424792,11210,18620,17323,4799,28795,68855,56727,193809,403766.25976924034,1,206329
ABC181,31,Retired,499828,46364,24382,10440,5492,17290,126002,14956,126497,454975.680429382,1,244926
ABC466,34,Entrepreneur,772231,35819,26932,11384,7100,61153,106946,12180,51017,745029.3983244918,1,261514
ABC894,53,Entrepreneur,487130,40980,18204,6891,7314,64598,124923,1935,141142,433791.93546892854,1,264845
ABC602,48,Self-Employed,80772,19068,23743,5556,3746,78819,22763,4610,132720,65687.66169580663,0,158305
ABC183,25,Self-Employed,56536,36372,26479,12646,3593,25894,14673,10402,236028,55666.78110524258,0,130059
ABC790,33,Retired,362503,10874,16067,10871,4175,61681,70958,12897,59246,318536.08651600627,1,187523
ABC694,35,Retired,77286,14017,22312,16167,6854,49834,55378,27796,350546,79536.0907330343,0,192358
ABC566,35,Self-Employed,526975,23838,9777,19364,5037,52607,58350,32461,319683,561440.5740085258,1,201434
ABC638,38,Entrepreneur,422068,21907,5776,18109,3441,49681,118231,1813,100063,457277.1539120605,1,218958
ABC116,54,Student,269724,44180,23428,7872,9446,16395,98291,40393,234742,251717.94892041618,1,240005
ABC700,34,Retired,440256,29547,17015,7088,9028,54912,33141,25226,363806,402081.4012141862,1,175957
ABC957,54,Employee,228636,31855,17726,5218,4312,31572,14894,53085,211354,208328.11677183106,0,158662
ABC129,44,Employee,707082,29171,28989,11098,4827,60673,122970,37502,249783,823929.8384634729,1,295230
ABC977,25,Retired,75309,24903,14967,8706,9751,70932,92444,2790,154383,78207.27857602897,0,224493
ABC357,49,Self-Employed,256903,23858,10127,7736,6056,74923,22938,43997,105460,299702.64662715996,1,189635
ABC172,51,Retired,714829,29195,27218,11003,7322,33692,59475,13281,179202,657207.1559451378,1,181186
ABC997,26,Self-Employed,194833,27949,13844,12099,8919,24693,15139,40068,382851,188050.38286048413,0,142711
ABC188,57,Student,467068,31440,27586,12985,9820,73570,10157,57698,238337,467318.5848627956,1,223256
ABC298,39,Retired,694519,15115,16061,9286,2908,15519,32700,29068,372252,661437.8942039635,1,120657
ABC782,29,Student,421943,40073,29409,15158,4098,36600,64883,54467,180739,394321.9877761713,1,244688
ABC627,33,Employee,105109,29373,26604,17266,7564,73962,12464,22791,245382,89278.66147977806,0,190024
ABC290,48,Student,675756,30294,15787,10553,7548,22914,74531,6945,107971,795785.8027004241,1,168572
ABC376,29,Retired,578957,32652,5193,7139,5353,31344,77521,56709,274751,467713.5310385703,1,215911
ABC198,21,Student,791848,10970,6012,11759,4397,50311,13229,28507,368774,893262.8779117621,1,125185
ABC987,47,Self-Employed,251294,13892,23387,16237,5177,45055,73907,54676,265887,210268.00073266018,0,232331
ABC678,32,Entrepreneur,187750,47598,14608,10442,8102,34963,64799,10646,354713,209733.4506192174,0,191158
ABC946,58,Entrepreneur,720937,17905,11117,5313,2049,30648,100923,52175,131568,609906.992929643,1,220130
ABC222,33,Student,427109,21633,26729,12554,9016,70188,101480,18129,223340,401414.3592684037,1,259729
ABC590,56,Employee,580706,11746,22445,10888,7725,71069,84981,17899,76589,674317.0661047528,1,226753
ABC485,40,Employee,371515,42440,17340,6721,4107,13785,141985,39391,317546,305834.93900772335,0,265769
ABC947,58,Self-Employed,308417,21884,26098,10118,6284,52669,86803,25774,257328,342145.8362592864,1,229630
ABC756,38,Student,99109,49655,26720,14451,2325,35756,65890,55618,31965,94571.05279708737,1,250415
ABC868,27,Student,602801,37746,28834,8109,5807,77444,101152,12647,193491,661101.7308969487,1,271739
ABC384,51,Self-Employed,631923,42324,28047,9773,8208,20195,136564,5995,147905,548577.1835728529,1,251106
ABC980,60,Student,561240,13379,26025,18991,8576,15000,68901,50356,190220,553494.574666393,1,201228
ABC351,42,Retired,786685,18029,19992,8500,4171,29147,72276,12392,255497,643530.9684547778,1,164507
ABC754,48,Student,619807,40399,12178,11844,5500,29814,64917,18082,309371,576975.8772916993,1,182734
ABC958,46,Employee,266051,41767,11204,5612,4252,28210,93197,58859,227472,256638.6098253686,1,243101
ABC139,45,Self-Employed,142316,39842,6270,14494,6518,61682,116811,13978,165124,114900.47453601594,0,259595
ABC677,57,Student,117433,30166,13391,5735,2248,10895,117109,49150,119938,127542.85111165879,1,228694
ABC149,33,Employee,204355,28887,7398,11810,9563,32795,136054,36368,365122,186793.7021272369,0,262875
ABC900,57,Employee,515133,32743,14979,16670,9583,30846,114834,26226,328747,565059.6563081066,1,245881
ABC295,30,Self-Employed,275177,24340,11398,17244,3374,69560,113456,3102,313560,232565.1093082427,0,242474
ABC469,32,Entrepreneur,145087,25953,18938,18679,7868,51001,79904,7937,76944,169302.42063857176,1,210280
ABC301,34,Entrepreneur,242412,36596,21468,15980,4333,48377,15728,53680,147897,234719.75627924575,1,196162
ABC601,24,Student,112511,32857,25904,19914,7644,13977,20986,57857,72307,109204.27417240967,1,179139
ABC933,48,Employee,372200,24949,11668,9932,7415,63944,29402,43127,151960,331907.0210141525,1,190437
ABC134,43,Entrepreneur,722086,30386,8748,12866,4864,66725,102496,40326,253399,667273.6633342716,1,266411
ABC427,52,Entrepreneur,669263,10335,10273,8931,5150,40445,59338,3057,132769,798098.2200483812,1,137529
ABC667,52,Entrepreneur,550234,25490,17688,12641,9424,53584,121122,51666,65544,568747.3356679535,1,291615
ABC591,48,Self-Employed,362145,43578,6984,7262,8112,68311,69544,36775,200375,364187.2706597058,1,240566
ABC192,34,Employee,565814,43423,9598,19502,2788,61615,32439,37014,321950,543034.7650229763,1,206379
ABC712,43,Employee,623553,34864,20736,14310,3422,18080,112789,23521,313215,672045.7273873002,1,227722
ABC449,47,Employee,91919,42975,8100,18252,5086,64057,94529,1720,327621,98247.45009448357,0,234719
ABC340,41,Retired,292634,46990,16783,8428,7373,56090,119763,6540,360820,332267.75538447953,0,261967
ABC199,58,Self-Employed,220468,26356,19765,14760,4494,65593,86335,18410,213502,232539.8837247283,1,235713
ABC514,42,Employee,223021,33491,14773,5207,3807,67398,17892,42920,125346,192301.52951245752,1,185488
ABC861,29,Self-Employed,297747,49685,18972,17522,6014,52529,118260,41706,189904,248187.89667814955,1,304688
ABC566,29,Entrepreneur,694090,38889,19316,19189,4282,27181,32245,6582,61437,558013.8806424963,1,147684
ABC464,32,Entrepreneur,546276,32015,9813,5164,4511,35212,17832,15367,38047,533198.9264956618,1,119914
ABC316,60,Retired,543689,28159,19342,16443,4823,53162,29679,53628,280293,570126.5100136659,1,205236
ABC924,55,Retired,479397,48017,22506,17222,8769,45957,80183,1095,44309,512610.525844577,1,223749
ABC559,49,Employee,454423,21795,10874,16986,9969,56220,119536,18288,226866,375363.0285843167,1,253668
ABC438,56,Employee,702357,49413,19055,6305,5047,29145,116084,28527,358590,635102.6922903608,1,253576
ABC666,50,Employee,109456,43042,17821,7600,3501,29034,56650,706,243759,130501.66451249266,0,158354
ABC749,37,Self-Employed,58656,37831,18981,7704,9309,17570,60939,6282,320205,65441.586728726885,0,158616
ABC911,52,Student,386315,31652,17285,19569,5729,10636,38318,41692,332325,392557.7237844753,1,164881
ABC400,38,Self-Employed,281101,31603,28933,15219,7657,47545,102895,15117,218676,283492.18674431194,1,248969
ABC369,58,Employee,510245,29331,11509,16154,9478,13697,43759,53882,239388,529395.613115676,1,177810
ABC351,55,Self-Employed,279022,22609,14576,11998,3363,10718,23789,44668,216972,228485.04422242066,1,131721
ABC450,30,Retired,644405,47190,14869,12165,7440,39544,41466,20946,303117,759704.2095289053,1,183620
ABC679,38,Student,771966,17920,29233,8665,7088,28389,125140,4474,368707,782080.6897255061,1,220909
ABC254,21,Entrepreneur,705398,12608,17473,6285,6370,26076,38622,53636,359712,633412.3959028694,1,161070
ABC525,38,Employee,92030,24227,21909,18135,7906,43486,146459,4425,58453,100964.75799218276,1,266547
ABC754,44,Entrepreneur,714680,39828,17619,14544,5724,44686,18552,39119,224697,714208.8883036914,1,180072
ABC800,54,Entrepreneur,699734,34761,9744,13357,7381,79768,146212,124,46082,830950.7336453071,1,291347
ABC973,45,Employee,362779,11864,20463,18016,7620,39778,124534,29861,107928,361891.24184990034,1,252136
ABC780,24,Retired,111333,18243,29972,14067,7301,77277,127730,31340,121639,96909.18110274496,0,305930
ABC223,48,Retired,279343,33837,20141,15599,8617,11458,64933,27526,95184,333721.6546074526,1,182111
ABC842,50,Entrepreneur,779595,46309,5788,6179,2821,23837,142387,43573,123273,689414.9982779627,1,270894
ABC358,57,Self-Employed,463576,18110,19052,8524,4032,36401,107093,29530,279393,415594.97254035604,1,222742
ABC413,51,Self-Employed,71278,31777,7505,7962,2859,35339,47221,12028,210992,84675.59775297713,0,144691
ABC284,26,Entrepreneur,643792,38274,27622,15113,4814,30214,60455,10156,132575,731031.3646776102,1,186648
ABC245,55,Entrepreneur,729112,39223,17533,19489,9464,15021,97902,4647,97081,838476.6905837528,1,203279
ABC979,26,Student,137100,27553,29858,16543,7899,20529,78925,33126,133142,112473.78636654168,0,214433
ABC189,57,Self-Employed,561505,19168,24572,8613,9712,12818,131583,32165,31801,575867.8543721726,1,238631
ABC574,44,Entrepreneur,773079,16845,15960,9510,2687,67473,90778,56134,133573,908803.1928846347,1,259387
ABC727,50,Entrepreneur,690253,34815,23523,18299,9734,43960,39231,46357,305920,575101.725424639,1,215919
ABC731,49,Student,761955,29315,21951,9233,8215,57485,24309,42648,387466,892330.8301291539,1,193156
ABC515,58,Retired,125482,10506,25971,15315,9523,60150,14845,32429,95156,144997.20236574695,1,168739
ABC731,34,Entrepreneur,680994,32699,9816,11297,3213,17412,82660,20488,110243,774557.2700138934,1,177585
ABC489,24,Employee,469634,31865,11472,13202,5889,19686,114805,22456,115064,555190.6652041049,1,219375
ABC426,25,Entrepreneur,377092,37559,11879,8494,4533,51388,86910,49810,71909,392114.5718361849,1,250573
ABC549,24,Self-Employed,209620,17889,8463,6324,9644,27010,140996,5667,67414,245813.75867848707,1,215993
ABC108,55,Entrepreneur,257006,41311,29990,8406,4392,77999,116000,26967,313346,216226.62054034325,0,305065
ABC155,60,Student,297783,29826,13831,19562,8762,38724,69876,25748,346410,296648.8906215854,0,206329
ABC226,25,Employee,339030,25752,11837,18628,2610,43716,113499,17257,76221,318721.8515866603,1,233299
ABC735,34,Self-Employed,542411,26881,26190,7507,2422,64754,34052,54429,150373,502090.15563555877,1,216235
ABC946,42,Self-Employed,463812,42347,21365,18425,9044,25810,62133,10788,27936,453399.44103549415,1,189912
ABC752,44,Self-Employed,57260,34071,19721,13245,7900,55836,71946,7793,223394,65579.23727979435,0,210512
ABC740,32,Entrepreneur,686462,27533,13244,10206,8573,21516,31985,46805,184314,576875.3994544176,1,159862
ABC615,34,Student,299799,46771,11517,17422,3168,29765,121074,317,234171,301304.0752904092,1,230034
ABC166,23,Self-Employed,781795,28118,25379,17628,4138,23448,72295,17318,190064,928268.3016747416,1,188324
ABC797,51,Retired,571665,42359,14477,14634,5736,30261,51383,15666,165134,668759.3442109646,1,174516
ABC769,21,Retired,712418,13848,8734,10592,2256,51753,146057,43113,381921,812433.9177541893,1,276353
ABC654,55,Entrepreneur,74397,30773,28604,9103,2344,61121,137186,20806,59121,85289.34034215941,1,289937
ABC752,35,Retired,469827,24819,12085,14275,4657,78311,100718,5839,59534,395572.7464255787,1,240704
ABC859,36,Self-Employed,436202,45004,8469,15856,8158,53209,82347,56060,331081,462900.68348564004,1,269103
ABC279,22,Employee,547762,13759,27500,14201,9636,55426,110728,2540,298494,538080.6996489539,1,233790
ABC671,47,Student,674734,20263,20810,5563,2074,48760,49339,45564,181147,767639.0652715362,1,192373
ABC747,52,Student,497202,19186,25823,16022,2224,78094,121601,37316,168220,476340.9671196366,1,300266
